Num.Layers;PTWD;FTWD;INSWORD;Evaluation.Set;Accuracy
2;0.1;0.1;-8.0;Train.Set;67.44
2;0.1;0.1;-8.0;Test.Set;65.25
2;0.1;0.1;-4.0;Train.Set;69.36
2;0.1;0.1;-4.0;Test.Set;67.14
2;0.1;0.1;-2.0;Train.Set;69.72
2;0.1;0.1;-2.0;Test.Set;67.32
2;0.1;0.1;0.0;Train.Set;69.23
2;0.1;0.1;0.0;Test.Set;66.62
2;0.1;0.01;-8.0;Train.Set;73.88
2;0.1;0.01;-8.0;Test.Set;68.39
2;0.1;0.01;-4.0;Train.Set;75.33
2;0.1;0.01;-4.0;Test.Set;69.46
2;0.1;0.01;-2.0;Train.Set;75.60
2;0.1;0.01;-2.0;Test.Set;69.43
2;0.1;0.01;0.0;Train.Set;75.19
2;0.1;0.01;0.0;Test.Set;68.53
2;0.1;0.001;-8.0;Train.Set;74.12
2;0.1;0.001;-8.0;Test.Set;68.21
2;0.1;0.001;-4.0;Train.Set;75.65
2;0.1;0.001;-4.0;Test.Set;69.20
2;0.1;0.001;-2.0;Train.Set;75.83
2;0.1;0.001;-2.0;Test.Set;69.09
2;0.1;0.001;0.0;Train.Set;75.44
2;0.1;0.001;0.0;Test.Set;68.28
2;0.1;0.0001;-8.0;Train.Set;74.21
2;0.1;0.0001;-8.0;Test.Set;68.28
2;0.1;0.0001;-4.0;Train.Set;75.68
2;0.1;0.0001;-4.0;Test.Set;69.22
2;0.1;0.0001;-2.0;Train.Set;75.87
2;0.1;0.0001;-2.0;Test.Set;69.11
2;0.1;0.0001;0.0;Train.Set;75.53
2;0.1;0.0001;0.0;Test.Set;68.21
2;0.1;0.00001;-8.0;Train.Set;74.17
2;0.1;0.00001;-8.0;Test.Set;68.31
2;0.1;0.00001;-4.0;Train.Set;75.67
2;0.1;0.00001;-4.0;Test.Set;69.23
2;0.1;0.00001;-2.0;Train.Set;75.85
2;0.1;0.00001;-2.0;Test.Set;69.11
2;0.1;0.00001;0.0;Train.Set;75.53
2;0.1;0.00001;0.0;Test.Set;68.20
2;0.1;0.000001;-8.0;Train.Set;74.19
2;0.1;0.000001;-8.0;Test.Set;68.31
2;0.1;0.000001;-4.0;Train.Set;75.67
2;0.1;0.000001;-4.0;Test.Set;69.23
2;0.1;0.000001;-2.0;Train.Set;75.85
2;0.1;0.000001;-2.0;Test.Set;69.13
2;0.1;0.000001;0.0;Train.Set;75.54
2;0.1;0.000001;0.0;Test.Set;68.22
2;0.01;0.1;-8.0;Train.Set;67.37
2;0.01;0.1;-8.0;Test.Set;65.28
2;0.01;0.1;-4.0;Train.Set;69.31
2;0.01;0.1;-4.0;Test.Set;66.96
2;0.01;0.1;-2.0;Train.Set;69.69
2;0.01;0.1;-2.0;Test.Set;67.12
2;0.01;0.1;0.0;Train.Set;69.07
2;0.01;0.1;0.0;Test.Set;66.54
2;0.01;0.01;-8.0;Train.Set;74.53
2;0.01;0.01;-8.0;Test.Set;68.54
2;0.01;0.01;-4.0;Train.Set;76.08
2;0.01;0.01;-4.0;Test.Set;69.63
2;0.01;0.01;-2.0;Train.Set;76.28
2;0.01;0.01;-2.0;Test.Set;69.49
2;0.01;0.01;0.0;Train.Set;75.97
2;0.01;0.01;0.0;Test.Set;68.53
2;0.01;0.001;-8.0;Train.Set;74.13
2;0.01;0.001;-8.0;Test.Set;68.41
2;0.01;0.001;-4.0;Train.Set;75.52
2;0.01;0.001;-4.0;Test.Set;69.23
2;0.01;0.001;-2.0;Train.Set;75.62
2;0.01;0.001;-2.0;Test.Set;69.11
2;0.01;0.001;0.0;Train.Set;75.07
2;0.01;0.001;0.0;Test.Set;68.04
2;0.01;0.0001;-8.0;Train.Set;74.71
2;0.01;0.0001;-8.0;Test.Set;68.46
2;0.01;0.0001;-4.0;Train.Set;76.13
2;0.01;0.0001;-4.0;Test.Set;69.35
2;0.01;0.0001;-2.0;Train.Set;76.23
2;0.01;0.0001;-2.0;Test.Set;69.09
2;0.01;0.0001;0.0;Train.Set;75.70
2;0.01;0.0001;0.0;Test.Set;68.16
2;0.01;0.00001;-8.0;Train.Set;73.89
2;0.01;0.00001;-8.0;Test.Set;68.14
2;0.01;0.00001;-4.0;Train.Set;75.39
2;0.01;0.00001;-4.0;Test.Set;69.01
2;0.01;0.00001;-2.0;Train.Set;75.47
2;0.01;0.00001;-2.0;Test.Set;68.87
2;0.01;0.00001;0.0;Train.Set;74.97
2;0.01;0.00001;0.0;Test.Set;67.89
2;0.01;0.000001;-8.0;Train.Set;74.57
2;0.01;0.000001;-8.0;Test.Set;68.37
2;0.01;0.000001;-4.0;Train.Set;76.00
2;0.01;0.000001;-4.0;Test.Set;69.32
2;0.01;0.000001;-2.0;Train.Set;76.29
2;0.01;0.000001;-2.0;Test.Set;69.29
2;0.01;0.000001;0.0;Train.Set;75.88
2;0.01;0.000001;0.0;Test.Set;68.35
2;0.001;0.1;-8.0;Train.Set;67.31
2;0.001;0.1;-8.0;Test.Set;65.18
2;0.001;0.1;-4.0;Train.Set;69.28
2;0.001;0.1;-4.0;Test.Set;66.99
2;0.001;0.1;-2.0;Train.Set;69.65
2;0.001;0.1;-2.0;Test.Set;67.22
2;0.001;0.1;0.0;Train.Set;69.11
2;0.001;0.1;0.0;Test.Set;66.56
2;0.001;0.01;-8.0;Train.Set;74.77
2;0.001;0.01;-8.0;Test.Set;68.89
2;0.001;0.01;-4.0;Train.Set;76.39
2;0.001;0.01;-4.0;Test.Set;69.84
2;0.001;0.01;-2.0;Train.Set;76.62
2;0.001;0.01;-2.0;Test.Set;69.80
2;0.001;0.01;0.0;Train.Set;76.19
2;0.001;0.01;0.0;Test.Set;68.98
2;0.001;0.001;-8.0;Train.Set;73.89
2;0.001;0.001;-8.0;Test.Set;68.33
2;0.001;0.001;-4.0;Train.Set;75.41
2;0.001;0.001;-4.0;Test.Set;69.29
2;0.001;0.001;-2.0;Train.Set;75.61
2;0.001;0.001;-2.0;Test.Set;69.19
2;0.001;0.001;0.0;Train.Set;75.14
2;0.001;0.001;0.0;Test.Set;68.46
2;0.001;0.0001;-8.0;Train.Set;75.65
2;0.001;0.0001;-8.0;Test.Set;69.10
2;0.001;0.0001;-4.0;Train.Set;77.00
2;0.001;0.0001;-4.0;Test.Set;69.83
2;0.001;0.0001;-2.0;Train.Set;77.22
2;0.001;0.0001;-2.0;Test.Set;69.71
2;0.001;0.0001;0.0;Train.Set;76.69
2;0.001;0.0001;0.0;Test.Set;68.78
2;0.001;0.00001;-8.0;Train.Set;74.81
2;0.001;0.00001;-8.0;Test.Set;68.70
2;0.001;0.00001;-4.0;Train.Set;76.39
2;0.001;0.00001;-4.0;Test.Set;69.51
2;0.001;0.00001;-2.0;Train.Set;76.64
2;0.001;0.00001;-2.0;Test.Set;69.48
2;0.001;0.00001;0.0;Train.Set;76.23
2;0.001;0.00001;0.0;Test.Set;68.52
2;0.001;0.000001;-8.0;Train.Set;74.84
2;0.001;0.000001;-8.0;Test.Set;68.64
2;0.001;0.000001;-4.0;Train.Set;76.41
2;0.001;0.000001;-4.0;Test.Set;69.57
2;0.001;0.000001;-2.0;Train.Set;76.67
2;0.001;0.000001;-2.0;Test.Set;69.44
2;0.001;0.000001;0.0;Train.Set;76.26
2;0.001;0.000001;0.0;Test.Set;68.52
2;0.0001;0.1;-8.0;Train.Set;67.52
2;0.0001;0.1;-8.0;Test.Set;65.36
2;0.0001;0.1;-4.0;Train.Set;69.43
2;0.0001;0.1;-4.0;Test.Set;67.07
2;0.0001;0.1;-2.0;Train.Set;69.71
2;0.0001;0.1;-2.0;Test.Set;67.31
2;0.0001;0.1;0.0;Train.Set;69.20
2;0.0001;0.1;0.0;Test.Set;66.65
2;0.0001;0.01;-8.0;Train.Set;74.52
