Num.Layers;PTWD;FTWD;TrainAcc;CVAcc
2;0.1;0.1;64.19;61.10
2;0.1;0.01;68.57;61.79
2;0.1;0.001;68.42;60.92
2;0.1;0.0001;68.43;60.87
2;0.1;0.00001;68.43;60.86
2;0.1;0.000001;68.43;60.85
2;0.01;0.1;64.11;61.09
2;0.01;0.01;69.21;62.14
2;0.01;0.001;68.18;60.77
2;0.01;0.0001;68.72;60.83
2;0.01;0.00001;67.99;60.60
2;0.01;0.000001;68.80;60.62
2;0.001;0.1;63.99;61.08
2;0.001;0.01;69.48;61.93
2;0.001;0.001;68.39;60.73
2;0.001;0.0001;69.29;60.68
2;0.001;0.00001;69.13;60.54
2;0.001;0.000001;69.10;60.52
2;0.0001;0.1;64.11;61.11
2;0.0001;0.01;69.02;61.55
2;0.0001;0.001;68.68;60.76
2;0.0001;0.0001;69.49;60.81
2;0.0001;0.00001;68.23;60.55
2;0.0001;0.000001;68.69;60.76
2;0.00001;0.1;64.01;60.94
2;0.00001;0.01;69.44;61.86
2;0.00001;0.001;69.57;61.09
2;0.00001;0.0001;69.57;60.70
2;0.00001;0.00001;69.55;60.75
2;0.00001;0.000001;69.52;60.83
2;0.000001;0.1;63.84;60.86
2;0.000001;0.01;69.44;61.83
2;0.000001;0.001;69.54;61.11
2;0.000001;0.0001;69.31;60.98
2;0.000001;0.00001;69.33;61.02
2;0.000001;0.000001;69.33;61.00
3;0.1;0.1;63.39;60.38
3;0.1;0.01;68.63;62.48
3;0.1;0.001;69.24;61.43
3;0.1;0.0001;67.74;61.30
3;0.1;0.00001;68.40;61.31
3;0.1;0.000001;68.79;61.77
3;0.01;0.1;63.26;60.18
3;0.01;0.01;68.18;61.83
3;0.01;0.001;69.97;61.65
3;0.01;0.0001;70.08;61.58
3;0.01;0.00001;71.19;61.59
3;0.01;0.000001;69.90;61.47
3;0.001;0.1;63.71;60.71
3;0.001;0.01;69.41;62.21
3;0.001;0.001;71.18;61.71
3;0.001;0.0001;69.95;61.38
3;0.001;0.00001;69.00;61.23
3;0.001;0.000001;69.88;61.47
3;0.0001;0.1;63.76;60.56
3;0.0001;0.01;70.30;62.29
3;0.0001;0.001;70.42;61.59
3;0.0001;0.0001;69.86;61.58
3;0.0001;0.00001;71.43;61.62
3;0.0001;0.000001;71.61;61.68
3;0.00001;0.1;64.18;60.92
3;0.00001;0.01;69.46;62.07
3;0.00001;0.001;70.37;61.54
3;0.00001;0.0001;70.67;61.58
3;0.00001;0.00001;71.11;61.71
3;0.00001;0.000001;70.36;61.55
3;0.000001;0.1;63.90;60.75
3;0.000001;0.01;69.48;62.26
3;0.000001;0.001;69.82;61.55
3;0.000001;0.0001;69.78;61.62
3;0.000001;0.00001;69.09;61.33
3;0.000001;0.000001;71.25;61.60
4;0.1;0.1;63.80;60.35
4;0.1;0.01;72.14;63.53
4;0.1;0.001;71.50;62.85
4;0.1;0.0001;71.12;62.88
4;0.1;0.00001;69.91;62.61
4;0.1;0.000001;70.82;62.75
4;0.01;0.1;63.99;60.64
4;0.01;0.01;70.12;62.64
4;0.01;0.001;72.32;62.59
4;0.01;0.0001;72.38;62.60
4;0.01;0.00001;70.73;62.23
4;0.01;0.000001;72.38;62.60
4;0.001;0.1;64.54;61.00
4;0.001;0.01;70.65;62.77
4;0.001;0.001;70.66;62.25
4;0.001;0.0001;70.39;62.09
4;0.001;0.00001;69.59;61.98
4;0.001;0.000001;69.59;61.93
4;0.0001;0.1;64.58;61.08
4;0.0001;0.01;70.13;62.62
4;0.0001;0.001;70.33;62.24
4;0.0001;0.0001;71.49;62.33
4;0.0001;0.00001;70.71;62.12
4;0.0001;0.000001;70.73;62.10
4;0.00001;0.1;64.55;61.07
4;0.00001;0.01;70.75;62.71
4;0.00001;0.001;71.43;62.21
4;0.00001;0.0001;70.41;62.04
4;0.00001;0.00001;70.70;62.10
4;0.00001;0.000001;70.70;62.07
4;0.000001;0.1;64.01;60.65
4;0.000001;0.01;69.07;62.34
4;0.000001;0.001;69.57;61.90
4;0.000001;0.0001;70.07;62.00
4;0.000001;0.00001;69.92;61.99
4;0.000001;0.000001;70.85;62.10
5;0.1;0.1;63.93;60.37
5;0.1;0.01;70.63;62.90
5;0.1;0.001;70.79;62.58
5;0.1;0.0001;70.92;62.74
5;0.1;0.00001;72.62;62.89
5;0.1;0.000001;70.92;62.64
5;0.01;0.1;64.46;60.82
5;0.01;0.01;70.97;62.87
5;0.01;0.001;72.61;62.55
5;0.01;0.0001;72.01;62.41
5;0.01;0.00001;72.31;62.57
5;0.01;0.000001;72.73;62.46
5;0.001;0.1;64.47;60.94
5;0.001;0.01;71.00;62.69
5;0.001;0.001;72.58;62.38
5;0.001;0.0001;72.69;62.37
5;0.001;0.00001;72.70;62.38
5;0.001;0.000001;72.69;62.41
5;0.0001;0.1;64.46;60.85
5;0.0001;0.01;70.99;62.86
5;0.0001;0.001;73.32;62.65
5;0.0001;0.0001;72.86;62.33
5;0.0001;0.00001;72.02;62.37
5;0.0001;0.000001;72.71;62.42
5;0.00001;0.1;64.48;60.87
5;0.00001;0.01;71.61;63.05
5;0.00001;0.001;72.65;62.48
5;0.00001;0.0001;72.72;62.37
5;0.00001;0.00001;72.71;62.34
5;0.00001;0.000001;72.20;62.19
5;0.000001;0.1;64.47;60.88
5;0.000001;0.01;72.62;63.27
5;0.000001;0.001;72.63;62.41
5;0.000001;0.0001;72.06;62.32
5;0.000001;0.00001;72.89;62.26
5;0.000001;0.000001;72.23;62.26
6;0.1;0.1;64.62;60.84
6;0.1;0.01;70.26;62.65
6;0.1;0.001;71.10;62.59
6;0.1;0.0001;72.08;62.74
6;0.1;0.00001;71.16;62.55
6;0.1;0.000001;72.09;62.64
6;0.01;0.1;64.21;60.47
6;0.01;0.01;71.81;63.11
6;0.01;0.001;72.96;62.68
6;0.01;0.0001;72.53;62.45
