Num.Realign;INSWORD;Evaluation.Set;Acc
1;-8.0;Train.Set;79.36
1;-8.0;Test.Set;71.93
1;-4.0;Train.Set;80.53
1;-4.0;Test.Set;72.45
1;-2.0;Train.Set;80.69
1;-2.0;Test.Set;72.26
1;0.0;Train.Set;80.37
1;0.0;Test.Set;71.48
2;-8.0;Train.Set;79.88
2;-8.0;Test.Set;72.13
2;-4.0;Train.Set;80.82
2;-4.0;Test.Set;72.56
2;-2.0;Train.Set;81.00
2;-2.0;Test.Set;72.38
2;0.0;Train.Set;80.65
2;0.0;Test.Set;71.51
3;-8.0;Train.Set;80.88
3;-8.0;Test.Set;72.25
3;-4.0;Train.Set;81.78
3;-4.0;Test.Set;72.65
3;-2.0;Train.Set;82.04
3;-2.0;Test.Set;72.43
3;0.0;Train.Set;81.88
3;0.0;Test.Set;71.68
4;-8.0;Train.Set;78.44
4;-8.0;Test.Set;71.57
4;-4.0;Train.Set;79.59
4;-4.0;Test.Set;72.13
4;-2.0;Train.Set;79.68
4;-2.0;Test.Set;71.94
4;0.0;Train.Set;79.44
4;0.0;Test.Set;71.24
5;-8.0;Train.Set;79.52
5;-8.0;Test.Set;72.03
5;-4.0;Train.Set;80.64
5;-4.0;Test.Set;72.47
5;-2.0;Train.Set;80.66
5;-2.0;Test.Set;72.20
5;0.0;Train.Set;80.48
5;0.0;Test.Set;71.46
6;-8.0;Train.Set;81.38
6;-8.0;Test.Set;72.78
6;-4.0;Train.Set;82.46
6;-4.0;Test.Set;73.02
6;-2.0;Train.Set;82.71
6;-2.0;Test.Set;72.73
6;0.0;Train.Set;82.39
6;0.0;Test.Set;71.84
7;-8.0;Train.Set;80.60
7;-8.0;Test.Set;72.45
7;-4.0;Train.Set;81.52
7;-4.0;Test.Set;72.66
7;-2.0;Train.Set;81.73
7;-2.0;Test.Set;72.41
7;0.0;Train.Set;81.37
7;0.0;Test.Set;71.68
8;-8.0;Train.Set;80.99
8;-8.0;Test.Set;72.51
8;-4.0;Train.Set;82.13
8;-4.0;Test.Set;72.75
8;-2.0;Train.Set;82.22
8;-2.0;Test.Set;72.45
8;0.0;Train.Set;82.05
8;0.0;Test.Set;71.70
9;-8.0;Train.Set;81.13
9;-8.0;Test.Set;72.61
9;-4.0;Train.Set;82.09
9;-4.0;Test.Set;72.91
9;-2.0;Train.Set;82.21
9;-2.0;Test.Set;72.55
9;0.0;Train.Set;81.93
9;0.0;Test.Set;71.72
10;-8.0;Train.Set;82.02
10;-8.0;Test.Set;72.66
10;-4.0;Train.Set;82.97
10;-4.0;Test.Set;72.98
10;-2.0;Train.Set;83.09
10;-2.0;Test.Set;72.65
10;0.0;Train.Set;82.98
10;0.0;Test.Set;71.93
