Num.Realign;INSWORD;Evaluation.Set;Acc
1;-8.0;Train.Set;83.39
1;-8.0;Test.Set;73.63
1;-4.0;Train.Set;83.54
1;-4.0;Test.Set;73.37
1;-2.0;Train.Set;83.55
1;-2.0;Test.Set;72.77
1;0.0;Train.Set;83.19
1;0.0;Test.Set;72.05
2;-8.0;Train.Set;85.97
2;-8.0;Test.Set;74.06
2;-4.0;Train.Set;86.35
2;-4.0;Test.Set;73.68
2;-2.0;Train.Set;86.39
2;-2.0;Test.Set;73.31
2;0.0;Train.Set;86.27
2;0.0;Test.Set;72.58
3;-8.0;Train.Set;85.30
3;-8.0;Test.Set;73.93
3;-4.0;Train.Set;85.70
3;-4.0;Test.Set;73.64
3;-2.0;Train.Set;85.66
3;-2.0;Test.Set;73.16
3;0.0;Train.Set;85.44
3;0.0;Test.Set;72.38
4;-8.0;Train.Set;86.80
4;-8.0;Test.Set;74.17
4;-4.0;Train.Set;87.33
4;-4.0;Test.Set;73.89
4;-2.0;Train.Set;87.31
4;-2.0;Test.Set;73.40
4;0.0;Train.Set;87.25
4;0.0;Test.Set;72.82
5;-8.0;Train.Set;87.12
5;-8.0;Test.Set;74.07
5;-4.0;Train.Set;87.59
5;-4.0;Test.Set;73.66
5;-2.0;Train.Set;87.66
5;-2.0;Test.Set;73.26
5;0.0;Train.Set;87.58
5;0.0;Test.Set;72.71
6;-8.0;Train.Set;87.12
6;-8.0;Test.Set;74.16
6;-4.0;Train.Set;87.53
6;-4.0;Test.Set;73.93
6;-2.0;Train.Set;87.66
6;-2.0;Test.Set;73.55
6;0.0;Train.Set;87.55
6;0.0;Test.Set;72.83
7;-8.0;Train.Set;85.00
7;-8.0;Test.Set;74.04
7;-4.0;Train.Set;85.37
7;-4.0;Test.Set;73.73
7;-2.0;Train.Set;85.38
7;-2.0;Test.Set;73.32
7;0.0;Train.Set;85.27
7;0.0;Test.Set;72.63
8;-8.0;Train.Set;86.43
8;-8.0;Test.Set;74.31
8;-4.0;Train.Set;86.95
8;-4.0;Test.Set;74.06
8;-2.0;Train.Set;87.02
8;-2.0;Test.Set;73.60
8;0.0;Train.Set;86.96
8;0.0;Test.Set;72.97
9;-8.0;Train.Set;85.33
9;-8.0;Test.Set;73.88
9;-4.0;Train.Set;85.66
9;-4.0;Test.Set;73.66
9;-2.0;Train.Set;85.74
9;-2.0;Test.Set;73.27
9;0.0;Train.Set;85.67
9;0.0;Test.Set;72.74
10;-8.0;Train.Set;85.41
10;-8.0;Test.Set;73.91
10;-4.0;Train.Set;85.77
10;-4.0;Test.Set;73.62
10;-2.0;Train.Set;85.80
10;-2.0;Test.Set;73.26
10;0.0;Train.Set;85.76
10;0.0;Test.Set;72.75
