Target;PTWD;FTWD;INSWORD;Evaluation.Set;Acc
xwtri;1;0.1;-8.0;Train.Set;72.60
xwtri;1;0.1;-8.0;Test.Set;68.43
xwbi-rc;1;0.1;-8.0;Train.Set;72.79
xwbi-rc;1;0.1;-8.0;Test.Set;68.81
xwtri;1;0.1;-4.0;Train.Set;72.59
xwtri;1;0.1;-4.0;Test.Set;68.24
xwbi-rc;1;0.1;-4.0;Train.Set;72.91
xwbi-rc;1;0.1;-4.0;Test.Set;68.75
xwtri;1;0.1;-2.0;Train.Set;72.26
xwtri;1;0.1;-2.0;Test.Set;67.55
xwbi-rc;1;0.1;-2.0;Train.Set;72.58
xwbi-rc;1;0.1;-2.0;Test.Set;68.16
xwtri;1;0.1;0.0;Train.Set;71.24
xwtri;1;0.1;0.0;Test.Set;66.39
xwbi-rc;1;0.1;0.0;Train.Set;71.63
xwbi-rc;1;0.1;0.0;Test.Set;67.06
xwtri;1;0.01;-8.0;Train.Set;77.74
xwtri;1;0.01;-8.0;Test.Set;71.12
xwbi-rc;1;0.01;-8.0;Train.Set;79.58
xwbi-rc;1;0.01;-8.0;Test.Set;72.01
xwtri;1;0.01;-4.0;Train.Set;77.71
xwtri;1;0.01;-4.0;Test.Set;70.65
xwbi-rc;1;0.01;-4.0;Train.Set;79.83
xwbi-rc;1;0.01;-4.0;Test.Set;71.76
xwtri;1;0.01;-2.0;Train.Set;77.39
xwtri;1;0.01;-2.0;Test.Set;69.97
xwbi-rc;1;0.01;-2.0;Train.Set;79.49
xwbi-rc;1;0.01;-2.0;Test.Set;71.10
xwtri;1;0.01;0.0;Train.Set;76.65
xwtri;1;0.01;0.0;Test.Set;68.95
xwbi-rc;1;0.01;0.0;Train.Set;78.90
xwbi-rc;1;0.01;0.0;Test.Set;70.12
xwtri;1;0.001;-8.0;Train.Set;80.79
xwtri;1;0.001;-8.0;Test.Set;72.02
xwbi-rc;1;0.001;-8.0;Train.Set;80.63
xwbi-rc;1;0.001;-8.0;Test.Set;72.08
xwtri;1;0.001;-4.0;Train.Set;80.78
xwtri;1;0.001;-4.0;Test.Set;71.45
xwbi-rc;1;0.001;-4.0;Train.Set;80.93
xwbi-rc;1;0.001;-4.0;Test.Set;71.71
xwtri;1;0.001;-2.0;Train.Set;80.60
xwtri;1;0.001;-2.0;Test.Set;70.82
xwbi-rc;1;0.001;-2.0;Train.Set;80.68
xwbi-rc;1;0.001;-2.0;Test.Set;71.19
xwtri;1;0.001;0.0;Train.Set;79.99
xwtri;1;0.001;0.0;Test.Set;69.88
xwbi-rc;1;0.001;0.0;Train.Set;80.11
xwbi-rc;1;0.001;0.0;Test.Set;70.08
xwtri;1;0.0001;-8.0;Train.Set;78.57
xwtri;1;0.0001;-8.0;Test.Set;71.28
xwbi-rc;1;0.0001;-8.0;Train.Set;80.14
xwbi-rc;1;0.0001;-8.0;Test.Set;72.03
xwtri;1;0.0001;-4.0;Train.Set;78.56
